brind,startT,endT,stayDuration,commDuration
1038,2008-04-08 13:43:50.970,2008-04-08 13:54:45.000,00:10:54.030000,
1038,2008-04-08 13:54:34.980,2008-04-08 13:54:52.980,,00:00:18
1157,2008-04-08 08:41:00.990,2008-04-08 08:45:46.950,00:04:45.960000,
1157,2008-04-08 08:45:40.980,2008-04-08 08:45:53.970,,00:00:12.990000
1095,2008-04-08 09:12:39.990,2008-04-08 09:25:02.970,00:12:22.980000,
1220,2008-04-08 09:38:26.970,2008-04-08 09:40:57.990,00:02:31.020000,
1124,2008-04-08 10:45:49.980,2008-04-08 10:54:34.980,00:08:45,
1124,2008-04-08 10:45:15.990,2008-04-08 10:45:35.010,,00:00:19.020000
1052,2008-04-08 11:11:05.010,2008-04-08 11:18:44.970,00:07:39.960000,
1052,2008-04-08 11:09:47.010,2008-04-08 11:09:54.000,,00:00:06.990000
1052,2008-04-08 11:19:54.990,2008-04-08 11:20:14.970,,00:00:19.980000
1058,2008-04-08 11:29:26.970,2008-04-08 11:37:22.980,00:07:56.010000,
1058,2008-04-08 11:30:22.980,2008-04-08 11:30:27.000,,00:00:04.020000
1057,2008-04-08 11:38:29.970,2008-04-08 11:44:17.970,00:05:48,
1057,2008-04-08 11:38:10.980,2008-04-08 11:38:49.980,,00:00:39
1067,2008-04-08 11:44:52.980,2008-04-08 11:50:24.990,00:05:32.010000,
1067,2008-04-08 11:50:48.990,2008-04-08 11:51:03.000,,00:00:14.010000
1033,2008-04-08 12:57:31.980,2008-04-08 13:02:30.000,00:04:58.020000,
1033,2008-04-08 12:57:12.990,2008-04-08 12:57:39.000,,00:00:26.010000
1158,2008-04-08 13:25:02.010,2008-04-08 13:35:17.970,00:10:15.960000,
1158,2008-04-08 13:35:32.970,2008-04-08 13:35:45.990,,00:00:13.020000
1158,2008-04-08 13:35:49.980,2008-04-08 13:36:01.920,,00:00:11.940000
1039,2008-04-08 14:13:16.980,2008-04-08 14:17:52.980,00:04:36,
1039,2008-04-08 14:12:29.010,2008-04-08 14:12:42.000,,00:00:12.990000
1036,2008-04-08 15:01:03.990,2008-04-08 15:05:48.000,00:04:44.010000,
1036,2008-04-08 15:00:48.000,2008-04-08 15:00:57.990,,00:00:09.990000
1076,2008-04-08 08:23:36.990,2008-04-08 08:32:31.500,00:08:54.510000,
1076,2008-04-08 08:25:11.970,2008-04-08 08:25:15.000,,00:00:03.030000
1136,2008-04-08 08:37:32.010,2008-04-08 08:43:39.390,00:06:07.380000,
1136,2008-04-08 08:44:14.970,2008-04-08 08:44:51.780,,00:00:36.810000
1050,2008-04-08 08:53:36.990,2008-04-08 09:02:37.980,00:09:00.990000,
1050,2008-04-08 09:02:18.990,2008-04-08 09:02:33.990,,00:00:15
1217,2008-04-08 09:42:45.000,2008-04-08 09:48:57.990,00:06:12.990000,
1163,2008-04-08 10:15:04.980,2008-04-08 10:18:41.970,00:03:36.990000,
1163,2008-04-08 10:14:41.970,2008-04-08 10:14:54.990,,00:00:13.020000
1163,2008-04-08 10:19:09.960,2008-04-08 10:49:07.200,00:29:57.240000,
1163,2008-04-08 10:48:39.990,2008-04-08 10:49:24.990,,00:00:45
1048,2008-04-08 10:59:50.970,2008-04-08 11:03:33.330,00:03:42.360000,
1048,2008-04-08 10:59:15.000,2008-04-08 10:59:51.990,,00:00:36.990000
1048,2008-04-08 11:03:42.990,2008-04-08 11:03:59.340,,00:00:16.350000
1055,2008-04-08 11:16:48.000,2008-04-08 13:23:54.930,02:07:06.930000,
1055,2008-04-08 11:16:30.960,2008-04-08 11:16:53.970,,00:00:23.010000
1055,2008-04-08 12:06:18.990,2008-04-08 12:10:04.980,,00:03:45.990000
1055,2008-04-08 12:17:00.990,2008-04-08 12:17:32.970,,00:00:31.980000
1055,2008-04-08 12:52:04.020,2008-04-08 12:54:03.000,,00:01:58.980000
1055,2008-04-08 12:54:09.960,2008-04-08 12:56:02.910,,00:01:52.950000
1055,2008-04-08 13:19:10.980,2008-04-08 13:23:15.990,,00:04:05.010000
1221,2008-04-08 13:12:41.970,2008-04-08 13:23:41.970,00:11:00,
1221,2008-04-08 13:23:15.990,2008-04-08 13:23:52.980,,00:00:36.990000
1221,2008-04-08 13:23:15.990,2008-04-08 13:23:52.980,,00:00:36.990000
1221,2008-04-08 13:24:39.990,2008-04-08 14:02:25.980,00:37:45.990000,
1221,2008-04-08 13:36:01.920,2008-04-08 13:39:38.970,,00:03:37.050000
1221,2008-04-08 14:00:26.940,2008-04-08 14:02:09.960,,00:01:43.020000
1014,2008-04-08 14:20:31.980,2008-04-08 14:27:42.990,00:07:11.010000,
1031,2008-04-08 14:28:45.000,2008-04-08 14:34:34.020,00:05:49.020000,
1031,2008-04-08 14:36:46.980,2008-04-08 14:36:57.990,,00:00:11.010000
1023,2008-04-08 14:28:35.010,2008-04-08 14:37:02.970,00:08:27.960000,
1023,2008-04-08 14:36:42.990,2008-04-08 14:37:24.990,,00:00:42
1023,2008-04-08 14:38:02.970,2008-04-08 15:45:08.970,01:07:06,
1023,2008-04-08 15:02:06.000,2008-04-08 15:05:26.970,,00:03:20.970000
1023,2008-04-08 15:42:52.980,2008-04-08 15:45:24.990,,00:02:32.010000
1077,2008-04-08 08:22:09.990,2008-04-08 09:49:33.210,01:27:23.220000,
1077,2008-04-08 08:25:05.010,2008-04-08 08:25:11.970,,00:00:06.960000
1077,2008-04-08 08:51:31.980,2008-04-08 08:51:55.980,,00:00:24
1077,2008-04-08 09:14:36.990,2008-04-08 09:16:33.990,,00:01:57
1077,2008-04-08 09:17:52.020,2008-04-08 09:17:57.960,,00:00:05.940000
1077,2008-04-08 09:42:01.980,2008-04-08 09:42:06.990,,00:00:05.010000
1077,2008-04-08 09:46:29.010,2008-04-08 09:48:24.990,,00:01:55.980000
1072,2008-04-08 10:21:35.010,2008-04-08 12:02:12.990,01:40:37.980000,
1072,2008-04-08 10:20:39.990,2008-04-08 10:21:18.990,,00:00:39
1072,2008-04-08 11:00:09.000,2008-04-08 11:01:33.990,,00:01:24.990000
1072,2008-04-08 11:54:38.970,2008-04-08 11:55:07.980,,00:00:29.010000
1072,2008-04-08 11:58:59.010,2008-04-08 12:02:00.000,,00:03:00.990000
1114,2008-04-08 12:20:16.980,2008-04-08 14:12:37.230,01:52:20.250000,
1114,2008-04-08 12:50:00.990,2008-04-08 12:52:04.020,,00:02:03.030000
1114,2008-04-08 12:54:03.000,2008-04-08 12:54:09.960,,00:00:06.960000
1114,2008-04-08 13:12:14.970,2008-04-08 13:12:25.980,,00:00:11.010000
