brind,startT,endT,commTime,commStart,commEnd
1064,2008-04-08 08:39:37,2008-04-08 08:39:46,,,
1064,,,,2008-04-08 08:39:37,2008-04-08 08:39:46
1064,2008-04-08 08:39:46,2008-04-08 09:59:58,,,
1064,,,,2008-04-08 08:57:07,2008-04-08 08:57:18
1064,,,,2008-04-08 09:59:55,2008-04-08 09:59:58
1161,2008-04-08 08:39:49,2008-04-08 08:39:56,,,
1161,,,,2008-04-08 08:39:49,2008-04-08 08:40:07
1161,2008-04-08 08:39:56,2008-04-08 08:40:07,,,
1161,2008-04-08 08:40:07,2008-04-08 08:54:03,,,
1161,2008-04-08 08:54:03,2008-04-08 08:54:11,,,
1161,,,,2008-04-08 08:54:03,2008-04-08 08:54:11
1161,2008-04-08 08:54:11,2008-04-08 10:11:32,,,
1161,,,,2008-04-08 09:05:31,2008-04-08 09:05:37
1161,,,,2008-04-08 09:17:55,2008-04-08 09:19:53
1161,,,,2008-04-08 09:39:05,2008-04-08 09:39:43
1161,,,,2008-04-08 10:11:20,2008-04-08 10:11:32
1188,2008-03-31 08:18:22,2008-03-31 08:26:50,,,
1188,,,2008-03-31 08:18:22,,
1188,2008-03-31 08:26:50,2008-03-31 10:16:09,,,
1188,,,2008-03-31 08:26:50,,
1188,,,,2008-03-31 08:56:56,2008-03-31 08:57:04
1188,,,,2008-03-31 10:14:52,2008-03-31 10:16:09
1185,2008-03-31 08:31:32,2008-03-31 08:42:12,,,
1185,,,2008-03-31 08:31:32,,
1185,2008-03-31 08:42:12,2008-03-31 10:24:01,,,
1185,,,2008-03-31 08:42:12,,
1185,,,,2008-03-31 09:25:02,2008-03-31 09:25:09
1185,,,,2008-03-31 09:39:15,2008-03-31 09:39:31
1185,,,2008-03-31 10:19:43,,
1185,,,,2008-03-31 10:23:59,2008-03-31 10:24:01
1193,2008-03-31 08:47:57,2008-03-31 09:00:01,,,
1193,,,2008-03-31 08:47:57,,
1193,,,2008-03-31 09:00:01,,
1192,2008-03-31 09:00:15,2008-03-31 09:06:53,,,
1192,,,2008-03-31 09:00:15,,
1192,2008-03-31 09:06:53,2008-03-31 10:06:40,,,
1192,,,2008-03-31 09:06:53,,
1192,,,,2008-03-31 09:34:26,2008-03-31 09:34:35
1192,,,2008-03-31 09:58:16,,
1192,,,2008-03-31 10:06:40,,
1197,2008-03-31 09:07:07,2008-03-31 09:12:26,,,
1197,,,2008-03-31 09:07:07,,
1197,,,2008-03-31 09:12:26,,
1195,2008-03-31 09:12:15,2008-03-31 11:56:41,,,
1195,,,2008-03-31 09:12:15,,
1195,,,2008-03-31 10:02:22,,
